2026-08-28 20:15:07 — INFO — Создан администратор: admin
2026-08-28 20:15:42 — INFO — GET / — 127.0.0.1
2026-08-28 20:15:42 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 20:15:42 — INFO — GET /cases/reclamation-rag-bot/ — 127.0.0.1
2026-08-28 20:15:42 — INFO — GET /about/ — 127.0.0.1
2026-08-28 20:15:42 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:15:50 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:15:50 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:15:59 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:16:09 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:16:51 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:16:52 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:16:59 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:17:10 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:17:10 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:17:10 — INFO — Новая заявка от Тест (test@example.com), тема: Консультация
2026-08-28 20:17:10 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:17:21 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:17:48 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:03 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:18:03 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:13 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:18:13 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:13 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:13 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:13 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:13 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:27 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:18:27 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:18:27 — INFO — Новая заявка от Тест (test@example.com), тема: Консультация
2026-08-28 20:18:27 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:18:36 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:18:36 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 20:18:36 — INFO — Администратор admin вошёл в систему
2026-08-28 20:18:36 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:21 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:19:21 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 20:19:21 — INFO — Администратор admin вошёл в систему
2026-08-28 20:19:21 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:30 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:19:30 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 20:19:31 — INFO — Администратор admin вошёл в систему
2026-08-28 20:19:31 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:31 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:41 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:19:41 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 20:19:41 — INFO — Администратор admin вошёл в систему
2026-08-28 20:19:41 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:41 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:55 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:19:55 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 20:19:55 — INFO — Администратор admin вошёл в систему
2026-08-28 20:19:55 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:19:55 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — POST /contact/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — Новая заявка от Тест Админ (admin-test@example.com), тема: Консультация
2026-08-28 20:20:43 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — GET /admin/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — POST /admin/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — Администратор admin вошёл в систему
2026-08-28 20:20:43 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — POST /admin/messages/3/read/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — Заявка #3 отмечена как прочитана
2026-08-28 20:20:43 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — POST /admin/messages/3/delete/ — 127.0.0.1
2026-08-28 20:20:43 — INFO — Заявка #3 удалена
2026-08-28 20:20:43 — INFO — GET /admin/dashboard/ — 127.0.0.1
2026-08-28 20:20:56 — INFO — GET /nonexistent/ — 127.0.0.1
2026-08-28 20:20:56 — WARNING — Страница не найдена: /nonexistent/
2026-08-28 20:20:56 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:20:56 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:20:56 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 20:21:04 — INFO — GET / — 127.0.0.1
2026-08-28 20:25:54 — INFO — GET / — 127.0.0.1
2026-08-28 20:25:54 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:25:54 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:25:54 — INFO — GET /favicon.ico — 127.0.0.1
2026-08-28 20:25:54 — WARNING — Страница не найдена: /favicon.ico
2026-08-28 20:25:54 — INFO — GET /favicon.ico — 127.0.0.1
2026-08-28 20:25:54 — WARNING — Страница не найдена: /favicon.ico
2026-08-28 20:26:12 — INFO — GET /cases/ai-hr-assistant/ — 127.0.0.1
2026-08-28 20:26:12 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:26:12 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 20:26:12 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:26:39 — INFO — GET /about/ — 127.0.0.1
2026-08-28 20:26:40 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:26:40 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:26:50 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:26:50 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:26:50 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:27:07 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 20:27:08 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 20:27:28 — INFO — GET /cases/orderhunter/ — 127.0.0.1
2026-08-28 20:27:28 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:27:28 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 20:27:28 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:27:39 — INFO — GET /about/ — 127.0.0.1
2026-08-28 20:27:39 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:27:39 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:27:41 — INFO — GET /contact/ — 127.0.0.1
2026-08-28 20:27:41 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:27:41 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/images/case-reclamation.svg — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/images/case-hr.svg — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/images/case-smm.svg — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/images/case-bond.svg — 127.0.0.1
2026-08-28 20:27:48 — INFO — GET /static/images/case-orderhunter.svg — 127.0.0.1
2026-08-28 20:27:59 — INFO — GET /about/ — 127.0.0.1
2026-08-28 20:27:59 — INFO — GET /static/css/style.css — 127.0.0.1
2026-08-28 20:27:59 — INFO — GET /static/js/main.js — 127.0.0.1
2026-08-28 20:28:05 — INFO — GET /cases/ — 127.0.0.1
2026-08-28 20:28:05 — INFO — GET /static/css/style.css — 127.0.0.1
